,StateName,Plan_Shorthand,Year,BenefitsPerPerson
352,California,CalSTRS,2002,44137.19984608825
353,California,CalSTRS,2003,45081.58329908141
354,California,CalSTRS,2004,45828.999035546985
355,California,CalSTRS,2005,47531.247487820954
356,California,CalSTRS,2006,48156.44343979461
357,California,CalSTRS,2007,49046.1717921527
358,California,CalSTRS,2008,51296.17492246464
359,California,CalSTRS,2009,52853.79016305287
360,California,CalSTRS,2010,54411.184840935224
361,California,CalSTRS,2011,52769.12715362165
362,California,CalSTRS,2012,54316.979653522154
363,California,CalSTRS,2013,56310.79659977215
364,California,CalSTRS,2014,59190.985422421574
365,California,CalSTRS,2015,61313.69444022647
366,California,CalSTRS,2016,63226.473189077464
367,California,CalSTRS,2017,65098.312054454545
368,California,CalSTRS,2018,66248.27070858031
369,California,CalSTRS,2019,67436.32480094627
370,California,CalSTRS,2020,67706.10950278472
371,California,CalSTRS,2021,65290.11569961433
372,California,CalSTRS,2022,69273.12775330397
375,California,California URS,2000,58534.89492443588
376,California,California URS,2001,23629.56439556663
377,California,California URS,2002,23984.12572426383
378,California,California URS,2003,21052.17196596507
379,California,California URS,2004,18286.05106084165
380,California,California URS,2005,17483.84016297774
381,California,California URS,2006,17708.190606683413
382,California,California URS,2007,18056.45489027364
383,California,California URS,2008,18435.399436235788
384,California,California URS,2009,23369.422225461436
385,California,California URS,2010,25032.50540545451
386,California,California URS,2011,24327.914881040342
387,California,California URS,2012,23792.165542648327
388,California,California URS,2013,23513.36476919105
389,California,California URS,2014,23911.401142798706
390,California,California URS,2015,26754.606532295616
391,California,California URS,2016,26543.746553097615
392,California,California URS,2017,26715.331066488994
393,California,California URS,2018,26941.05833702236
394,California,California URS,2019,27700.69250925425
395,California,California URS,2020,28573.470087538826
396,California,California URS,2021,21374.889963009937
397,California,California URS,2022,21856.44067269028
401,California,California JRF II,2001,1.183259379622107
402,California,California JRF II,2002,1.1149325371329226
403,California,California JRF II,2003,3.349170071292594
404,California,California JRF II,2004,7.536164556798679
405,California,California JRF II,2005,14.276351634121113
406,California,California JRF II,2006,13.577217460712607
407,California,California JRF II,2007,15.898879959501361
408,California,California JRF II,2008,15.263489148118387
409,California,California JRF II,2009,19.84167861868953
410,California,California JRF II,2010,22.080255065015407
411,California,California JRF II,2011,35.49995237036802
412,California,California JRF II,2012,56.18830072499752
413,California,California JRF II,2013,167.2776430360622
414,California,California JRF II,2014,141.11354745768782
415,California,California JRF II,2015,223.44018864317124
416,California,California JRF II,2016,343.63351499180743
417,California,California JRF II,2017,356.34651450460876
418,California,California JRF II,2018,507.13495508952144
419,California,California JRF II,2019,576.3419197006764
420,California,California JRF II,2020,552.8736321990838
421,California,California JRF II,2021,986.901626608789
422,California,California JRF II,2022,1064.2276846370585
426,California,California JRF,2001,1598.411620251842
427,California,California JRF,2002,1762.3243897632253
428,California,California JRF,2003,1834.3147159088621
429,California,California JRF,2004,1959.1034496646998
430,California,California JRF,2005,2041.1670582924578
431,California,California JRF,2006,2155.862180263052
432,California,California JRF,2007,2440.085773475643
433,California,California JRF,2008,2721.0981140311874
434,California,California JRF,2009,2830.4156973803983
435,California,California JRF,2010,2898.1771044316615
436,California,California JRF,2011,3002.7778115711058
437,California,California JRF,2012,3011.2458081960426
438,California,California JRF,2013,3041.286845837787
439,California,California JRF,2014,3155.8177379983726
440,California,California JRF,2015,3289.6712104489343
441,California,California JRF,2016,3249.3987003774937
442,California,California JRF,2017,3271.648514871686
443,California,California JRF,2018,3395.3370584583213
444,California,California JRF,2019,3629.649919665087
445,California,California JRF,2020,3482.8334083561813
446,California,California JRF,2021,3456.124990272254
447,California,California JRF,2022,3451.763664092094
450,Colorado,Colorado Schools,2000,10969.529739213622
451,Colorado,Colorado Schools,2001,12418.221455678102
452,Colorado,Colorado Schools,2002,13628.998289751653
453,Colorado,Colorado Schools,2003,15286.92039806602
454,Colorado,Colorado Schools,2004,17113.11242230847
455,Colorado,Colorado Schools,2005,16468.77284289933
456,Colorado,Colorado Schools,2006,16174.580761420637
457,Colorado,Colorado Schools,2007,16335.5800324615
458,Colorado,Colorado Schools,2008,16642.93322219135
